id,title,overview,release_date,genre_ids,popularity,vote_average,vote_count,original_language,poster_url,banner_url
1339876,Mardaani 3,"Officer Shivani Shivaji Roy returns to hunt down those behind the disappearance of young girls, risking everything to bring them back alive.",2026-01-30,"28,80,53",95.169,7.447,19,hi,https://image.tmdb.org/t/p/w500/dHxLBtHw4InwsVumnthupZYz6NM.jpg,https://image.tmdb.org/t/p/original/pfcyWSaPKGagqdunfBXQYCqZHxx.jpg
1582770,Dhurandhar: The Revenge,"As rival gangs, corrupt officials and a ruthless Major Iqbal close in, Hamza's mission for his country spirals into a bloody personal war where the line between patriot and monster disappears in the streets of Lyari.",2026-03-18,"28,80,53",56.992,7.7,53,hi,https://image.tmdb.org/t/p/w500/ptTwQES14pr5c3aZvJg56YlYgb1.jpg,https://image.tmdb.org/t/p/original/owQeDouUZ6wI6f1aTOYEFd511zn.jpg
1634301,Vanaveera,A descendant of the Vanara clan is pushed into conflict when a modern-day Ravana seizes his only bike for an election rally. What starts as a petty injustice soon erupts into a fierce fight for self-respect and dignity.,2026-02-13,"28,18",52.053,7.5,6,te,https://image.tmdb.org/t/p/w500/oBYExKI8E3bTzQjPkofhpV2EJon.jpg,https://image.tmdb.org/t/p/original/lmns2jlRmATs8OGWKcCkgrbHLM4.jpg
1336770,Vaazha II,"Four friends – Hashir, Alan, Ajin and Vinayak – are considered losers and troublemakers by parents, family and the school management. They face immense social pressure as they reach adulthood, embarking them on an emotional journey of self discovery and acceptance, where they finally learn to take up their responsibilities and find success",2026-04-02,"35,18,28",20.2536,0.0,0,ml,https://image.tmdb.org/t/p/w500/1yLZ7kExd0UGGbaZW4LxmYD4OIf.jpg,https://image.tmdb.org/t/p/original/uNA0OVk09Hbwflye3eBoOiGIKGc.jpg
656908,Ramayana,"An ancient epic follows a young prince and princess whose marriage and subsequent exile mark the beginning of a legendary journey. Their story of love, duty and destiny sets the stage for greater challenges ahead.",2026-11-08,"28,18,14",14.5392,0.0,0,hi,https://image.tmdb.org/t/p/w500/f3yZZw7zIsWo6m9xJStfjDauIZX.jpg,https://image.tmdb.org/t/p/original/yHVZncPRZr63mezRX20IyKLrSkv.jpg
1389149,Accused,"When a celebrated queer doctor in London is accused of sexual misconduct, her life unravels. Now under a storm of suspicion and scrutiny, her marriage fractures and the truth blurs. Her wife must decide whether to walk away, or fight for the woman the world is turning against.",2026-02-27,"53,9648,18",10.6015,5.159,63,hi,https://image.tmdb.org/t/p/w500/e0YNWPVJBs9wUkcB6a1kCMF4LO7.jpg,https://image.tmdb.org/t/p/original/8QRMlkCMFNKZM2ApnIaut5t4snf.jpg
1282440,Happy Patel: Khatarnak Jasoos,"Chronically unsuccessful MI7 operative Happy Patel is finally assigned a mission in Goa, where he uncovers his Indian roots and must rescue a high-profile scientist from crime lord Mama. Unaware of his Indian heritage and armed with a comically British accent, Happy’s blunders trigger a string of chaotic mishaps that could lead him to expose a criminal network.",2026-01-16,"35,28,10749",8.7155,8.1,8,hi,https://image.tmdb.org/t/p/w500/tZJBXGNyDanSne6a2TLRU45Uhwu.jpg,https://image.tmdb.org/t/p/original/gsLYR8uALrt2p33iOpqReNW6XyQ.jpg
1561687,Made in Korea,A woman from a small town in Tamil Nadu moves to South Korea — a place she always dreamed of — but struggles to find her footing in a foreign land.,2026-03-12,18,8.0143,6.8,25,ta,https://image.tmdb.org/t/p/w500/foEObhyAMM3dxYeBEr242EdQDB7.jpg,https://image.tmdb.org/t/p/original/5MaWBfAxdlbsqDpq8mjCBNVoLM3.jpg
1643729,Ishqa'n De Lekhe,"Starring the sensational Gurnam Bhullar alongside the stunning Isha Malviya, this Punjabi cinema is crafted for every soul that has ever loved deeply. Directed by the talented Manvir Brar, Ishqa'n De Lekhe is set to redefine Punjabi romance on the big screen.",2026-03-06,"18,10749,10402",8.0828,10.0,1,pa,https://image.tmdb.org/t/p/w500/g3EpAFlNGqkYxkw8cHOANzi8u1.jpg,
1022453,The Rajasaab,"Seeking his lost grandfather, a young man enters a haunted mansion and awakens a family curse powerful enough to upend both his life and reality.",2026-01-08,"35,27,14",6.455,5.185,27,te,https://image.tmdb.org/t/p/w500/nvK6gYa4diCnQkDVN42uoYXPrdT.jpg,https://image.tmdb.org/t/p/original/kCwmLYy9ZMto1eMH8BI9KcVVIH2.jpg
